Date,Temp_avg,DP_avg,Humid_avg,Sea_avg,Vis_avg,Wind_avg,Precip,Snow,Rain,Fog
2/14/17,35,21,56,29.87,10,5,0,0,0,0
2/15/17,41,30,68,29.46,10,7,0,0,0,0
2/16/17,32,16,54,29.61,10,11,0,0,0,0
2/17/17,34,15,41,29.85,10,9,0,0,0,0
2/18/17,49,25,39,29.76,10,6,0,0,0,0
2/19/17,59,32,35,29.81,10,6,0,0,0,0
2/20/17,47,22,38,30.19,10,7,0,0,0,0
2/21/17,41,23,47,30.29,10,6,0,0,0,0
2/22/17,50,37,59,29.98,10,3,0,0,0,0
2/23/17,55,47,75,29.87,8,4,0,0,0,0
2/24/17,64,53,69,29.89,10,6,0,0,0,0
2/25/17,54,51,88,29.66,7,7,0.54,0,1,1
2/26/17,40,18,49,30,10,9,0,0,0,0
2/27/17,45,22,39,30.37,10,6,0,0,0,0
2/28/17,53,43,73,30.24,10,4,0,0,0,0
3/1/17,62,54,73,29.67,8,6,0.12,0,1,0
3/2/17,50,20,44,29.76,10,11,0,0,0,0
3/3/17,32,8,35,30.24,10,8,0,0,0,0
3/4/17,24,-1,37,30.51,10,9,0,0,0,0
3/5/17,26,-7,26,30.58,10,5,0,0,0,0
3/6/17,36,11,35,30.48,10,3,0,0,0,0
3/7/17,49,42,71,30.23,8,4,0.1,0,1,0
3/8/17,53,32,53,29.94,10,8,0.02,0,1,0
3/9/17,54,17,28,29.95,10,9,0,0,0,0
3/10/17,35,24,63,29.87,5,8,0.31,1,0,1
3/11/17,23,3,44,30.16,10,10,0,0,0,0
3/12/17,24,2,40,30.31,10,9,0,0,0,0
3/13/17,27,7,44,30.42,10,5,0,0,0,0
3/14/17,27,25,79,29.59,3,14,1.97,1,0,1
3/15/17,23,9,52,29.63,10,12,0,0,0,0
3/16/17,32,10,41,29.96,10,8,0,0,0,0
3/17/17,38,14,36,30.2,10,7,0,0,0,0
3/18/17,37,27,70,30.18,7,9,0.08,1,0,0
3/19/17,41,21,47,30.16,10,8,0,0,0,0
3/20/17,43,15,33,30.08,10,5,0,0,0,0
3/21/17,51,25,40,29.89,10,4,0,0,0,0
3/22/17,37,6,32,30.13,10,12,0,0,0,0
3/23/17,33,2,33,30.53,10,5,0,0,0,0
3/24/17,47,25,43,30.32,10,6,0,0,0,0
3/25/17,52,38,66,30.22,10,7,0.01,0,0,0
3/26/17,40,34,81,30.42,8,8,0.14,0,1,0
3/27/17,45,41,89,30.11,4,4,0.26,0,1,1
3/28/17,44,42,95,29.95,4,6,0.72,0,1,0
3/29/17,51,34,61,30.06,10,8,0,0,0,0
3/30/17,45,24,44,30.2,10,6,0.01,0,0,0
3/31/17,40,38,93,29.95,3,10,1.51,0,1,0
4/1/17,43,35,76,29.8,8,8,0,0,0,0
4/2/17,52,29,47,30.08,10,5,0,0,0,0
4/3/17,56,32,45,30.04,10,5,0.03,0,1,0
4/4/17,48,47,87,29.67,5,7,1.18,0,1,0
4/5/17,55,44,73,29.88,6,3,0,0,0,0
4/6/17,47,41,88,29.58,5,9,0.73,0,1,0
4/7/17,46,33,65,29.41,10,11,0,0,0,0
4/8/17,49,21,42,29.82,10,8,0,0,0,0
4/9/17,56,25,35,30.12,10,5,0,0,0,0
4/10/17,64,38,38,30.15,10,6,0,0,0,0
4/11/17,71,48,49,30.1,10,6,0,0,0,0
4/12/17,67,50,53,30.14,10,3,0.02,0,1,0
4/13/17,57,30,43,30.33,10,5,0,0,0,0
4/14/17,57,28,33,30.37,10,4,0,0,0,0
4/15/17,58,41,57,30.28,10,6,0,0,0,0
4/16/17,73,55,60,29.91,10,7,0,0,1,0
4/17/17,66,41,46,29.97,10,7,0,0,0,0
4/18/17,56,34,49,30.36,10,7,0,0,0,0
4/19/17,50,39,73,30.43,10,6,0,0,1,0
4/20/17,58,49,77,30.11,7,4,0.17,0,1,0
4/21/17,51,48,92,29.98,6,7,0.29,0,1,0
4/22/17,53,48,78,29.94,8,4,0.11,0,1,0
4/23/17,56,37,51,30.09,10,5,0,0,0,0
4/24/17,54,42,66,30.14,10,4,0,0,0,0
4/25/17,52,50,89,30,6,13,0.91,0,1,0
4/26/17,57,55,94,29.79,4,5,0.34,0,1,0
4/27/17,64,58,84,29.89,3,3,0,0,0,0
4/28/17,72,55,63,29.95,5,3,0,0,1,0
4/29/17,75,60,68,30,9,5,0.06,0,1,0
4/30/17,60,41,54,30.2,10,7,0,0,0,0
5/1/17,62,53,80,29.92,6,5,0,0,0,0
5/2/17,69,52,61,29.62,9,8,0,0,0,0
5/3/17,58,34,39,29.93,10,8,0,0,0,0
5/4/17,56,34,49,30.22,10,5,0,0,0,0
5/5/17,55,53,86,29.73,4,6,3.02,0,1,1
5/6/17,60,55,84,29.43,5,6,0.18,0,1,0
5/7/17,52,41,68,29.65,10,6,0.01,0,1,0
5/8/17,51,31,54,29.87,10,6,0,0,0,0
5/9/17,55,34,48,29.96,10,4,0,0,0,0
5/10/17,56,38,50,30.02,10,3,0,0,0,0
5/11/17,57,37,55,30.02,10,4,0,0,0,0
5/12/17,57,43,63,30.05,10,4,0,0,0,0
5/13/17,49,47,86,29.87,4,8,1.61,0,1,0
5/14/17,57,44,69,29.67,10,5,0.02,0,1,0
5/15/17,61,42,52,29.74,10,9,0,0,0,0
5/16/17,68,45,48,29.98,10,4,0,0,0,0
5/17/17,78,56,47,29.96,10,6,0,0,0,0
5/18/17,84,63,51,29.89,10,6,0,0,0,0
5/19/17,79,62,55,29.88,10,6,0,0,0,0
5/20/17,60,44,52,30.25,10,4,0.01,0,1,0
5/21/17,61,39,50,30.33,10,4,0,0,0,0
5/22/17,57,57,81,30.06,4,3,0.59,0,1,0
5/23/17,63,52,69,29.91,9,2,0,0,0,0
5/24/17,63,51,68,29.77,10,5,0.04,0,1,0
5/25/17,58,55,88,29.63,4,8,0.58,0,1,0
5/26/17,65,55,71,29.59,9,5,0.1,0,1,0
5/27/17,65,55,71,29.87,10,3,0,0,0,0
5/28/17,65,55,78,29.94,8,4,0,0,0,0
5/29/17,59,54,86,29.98,9,5,0.13,0,1,0
5/30/17,58,54,90,30.14,8,3,0.06,0,1,0
5/31/17,67,59,80,30.02,6,3,0.03,0,0,0
6/1/17,69,52,63,29.92,10,4,0,0,0,0
6/2/17,67,42,42,29.95,10,4,0.01,0,0,0
6/3/17,64,41,48,29.96,10,4,0.01,0,1,0
6/4/17,63,48,62,29.95,10,2,0.09,0,1,0
6/5/17,63,59,91,29.77,4,5,0.02,0,1,0
6/6/17,55,52,89,29.81,8,7,0.06,0,1,0
6/7/17,59,47,65,29.98,10,3,0,0,0,0
6/8/17,62,48,63,29.96,10,4,0,0,0,0
6/9/17,67,48,57,29.77,10,5,0,0,0,0
6/10/17,76,54,48,29.96,10,4,0,0,0,0
6/11/17,81,60,52,30.03,10,5,0,0,0,0
6/12/17,85,61,49,29.98,10,4,0,0,0,0
6/13/17,86,64,48,29.89,10,3,0,0,0,0
6/14/17,77,62,67,29.98,8,5,0.29,0,1,1
6/15/17,70,53,60,30.04,10,4,0,0,0,0
6/16/17,66,61,80,29.98,9,5,0,0,0,0
6/17/17,70,67,88,29.95,5,2,1.39,0,1,1
6/18/17,78,71,85,29.88,6,4,0,0,0,0
6/19/17,79,71,80,29.83,6,4,1.35,0,1,1
6/20/17,77,62,64,29.89,8,5,0.03,0,1,0
6/21/17,77,59,57,29.91,10,5,0,0,0,0
6/22/17,76,61,62,29.96,10,2,0,0,0,0
6/23/17,80,72,79,29.74,9,5,0.04,0,1,0
6/24/17,78,66,66,29.68,7,5,1.29,0,1,1
6/25/17,76,57,56,29.95,10,3,0,0,0,0
6/26/17,72,50,48,30,10,3,0,0,0,0
6/27/17,69,55,69,29.98,9,4,0.18,0,1,0
6/28/17,70,49,50,30.09,10,5,0,0,0,0
6/29/17,75,60,59,30.09,10,5,0,0,0,0
6/30/17,81,66,61,29.97,10,6,0,0,0,0
7/1/17,78,71,79,29.93,9,4,0.23,0,1,0
7/2/17,80,66,72,29.95,9,5,0,0,0,0
7/3/17,80,64,60,29.98,8,2,0.45,0,1,1
7/4/17,78,59,63,30.06,10,3,0,0,0,0
7/5/17,78,58,52,30.17,10,5,0,0,0,0
7/6/17,74,61,60,30.09,10,4,0,0,0,0
7/7/17,74,68,82,29.8,6,5,1.78,0,1,1
7/8/17,77,66,76,29.77,9,3,0,0,0,0
7/9/17,74,54,50,29.99,10,4,0,0,0,0
7/10/17,76,60,56,30.02,10,3,0,0,0,0
7/11/17,80,69,71,29.94,10,3,0,0,0,0
7/12/17,83,70,67,29.97,10,5,0,0,0,0
7/13/17,85,70,65,29.99,10,5,0,0,1,0
7/14/17,69,66,88,30.05,5,5,0.35,0,1,0
7/15/17,76,66,74,29.95,6,3,0,0,0,0
7/16/17,78,63,61,29.95,10,3,0,0,0,0
7/17/17,79,69,69,30.04,10,3,0,0,0,0
7/18/17,81,69,70,30.07,10,3,0,0,0,0
7/19/17,85,68,58,30.01,10,3,0,0,0,0
7/20/17,86,68,58,29.93,9,3,0.01,0,1,0
7/21/17,84,67,59,29.88,10,4,0,0,0,0
7/22/17,82,66,56,29.83,9,2,0.57,0,1,0
7/23/17,75,70,87,29.81,5,3,0.06,0,1,1
7/24/17,68,63,84,29.83,6,7,0.74,0,1,1
7/25/17,67,59,79,30.1,10,5,0,0,0,0
7/26/17,71,56,64,30.21,10,4,0,0,0,0
7/27/17,72,66,78,29.98,10,2,0,0,1,0
7/28/17,78,68,72,29.84,8,3,0,0,0,0
7/29/17,72,54,53,29.81,10,9,0,0,0,0
7/30/17,73,51,48,29.99,10,4,0,0,0,0
7/31/17,77,58,53,30.04,10,2,0,0,0,0
8/1/17,82,62,51,30.02,10,3,0,0,0,0
8/2/17,78,68,71,30.06,8,2,0.09,0,1,0
8/3/17,78,66,69,30.1,8,2,0,0,0,0
8/4/17,77,69,74,30.02,8,4,0.15,0,1,0
8/5/17,74,67,70,29.9,8,5,0.3,0,1,0
8/6/17,70,53,54,30.08,10,4,0,0,0,0
8/7/17,68,63,79,30.05,4,3,0.76,0,1,0
8/8/17,72,62,74,29.96,8,3,0,0,0,0
8/9/17,75,57,59,30.18,10,1,0,0,0,0
8/10/17,76,60,62,30.21,10,2,0,0,0,0
8/11/17,76,60,59,30.11,10,3,0,0,0,0
8/12/17,71,67,87,29.94,9,3,0.11,0,1,0
8/13/17,77,64,68,29.92,10,4,0,0,0,0
8/14/17,75,63,67,30,10,2,0,0,0,0
8/15/17,71,69,87,29.94,4,1,0.45,0,1,0
8/16/17,79,65,71,29.96,7,2,0,0,0,0
8/17/17,76,61,67,30.02,10,3,0,0,0,0
8/18/17,78,73,88,29.87,5,3,0.88,0,1,1
8/19/17,80,68,71,29.83,9,3,0,0,0,0
8/20/17,75,60,59,30.04,10,5,0,0,0,0
8/21/17,79,64,60,30.15,10,3,0,0,0,0
8/22/17,81,72,75,29.95,8,5,0.3,0,1,0
8/23/17,76,62,66,29.82,8,4,0,0,1,0
8/24/17,73,52,50,29.93,10,3,0,0,0,0
8/25/17,71,54,60,30.1,10,2,0,0,0,0
8/26/17,70,48,51,30.24,10,4,0,0,0,0
8/27/17,71,50,48,30.26,10,4,0,0,0,0
8/28/17,70,53,58,30.28,10,6,0,0,0,0
8/29/17,66,59,78,30.15,9,8,0.1,0,1,0
8/30/17,69,55,69,29.95,10,5,0.01,0,1,0
8/31/17,73,56,61,29.93,10,4,0,0,0,0
9/1/17,63,40,43,30.1,10,5,0,0,0,0
9/2/17,61,50,72,30.18,7,6,0.53,0,1,0
9/3/17,64,60,84,29.94,6,6,0.74,0,1,1
9/4/17,71,57,65,29.92,10,5,0,0,0,0
9/5/17,77,65,70,29.79,9,3,0,0,0,0
9/6/17,67,62,81,29.89,6,4,0.42,0,1,0
9/7/17,65,56,76,29.89,8,5,0.01,0,1,0
9/8/17,65,50,61,30.1,10,4,0,0,0,0
9/9/17,63,48,61,30.25,10,4,0,0,0,0
9/10/17,65,49,61,30.34,10,6,0,0,0,0
9/11/17,66,48,58,30.25,10,2,0,0,0,0
9/12/17,69,55,62,30.01,10,1,0,0,0,0
9/13/17,74,63,69,29.9,9,2,0.06,0,1,0
9/14/17,76,67,78,29.88,9,2,0.02,0,0,0
9/15/17,74,64,74,30.03,10,2,0,0,0,0
9/16/17,76,68,78,30.14,5,3,0,0,0,0
9/17/17,75,66,76,30.15,5,3,0,0,0,0
9/18/17,71,66,85,30.12,9,7,0,0,0,0
9/19/17,74,65,74,29.96,9,10,0.22,0,1,0
9/20/17,75,64,70,29.88,10,6,0,0,0,0
9/21/17,76,63,65,29.99,10,6,0,0,0,0
9/22/17,74,52,51,29.99,10,7,0,0,0,0
9/23/17,78,53,42,30.02,10,5,0,0,0,0
9/24/17,80,62,60,30.05,10,2,0,0,0,0
9/25/17,79,65,66,30.04,10,3,0,0,0,0
9/26/17,76,66,73,30.02,10,2,0,0,0,0
9/27/17,78,69,78,29.89,10,4,0,0,0,0
9/28/17,69,57,63,29.79,10,6,0,0,0,0
9/29/17,62,44,57,30.02,10,3,0,0,0,0
9/30/17,60,48,65,30.18,10,6,0,0,0,0
10/1/17,59,44,63,30.35,10,3,0,0,0,0
10/2/17,63,43,54,30.4,10,3,0,0,0,0
10/3/17,64,49,64,30.58,10,3,0,0,0,0
10/4/17,66,54,68,30.35,10,5,0,0,0,0
10/5/17,74,59,64,30.1,10,5,0,0,1,0
10/6/17,75,62,65,30.07,10,2,0,0,0,0
10/7/17,74,65,77,30.1,7,4,0,0,0,0
10/8/17,75,70,88,29.96,8,5,0.22,0,1,0
10/9/17,74,72,94,29.91,6,5,0.26,0,1,0
10/10/17,74,61,65,30.04,10,3,0,0,0,0
10/11/17,69,59,79,30.13,10,6,0.06,0,1,0
10/12/17,60,51,71,30.33,10,9,0.07,0,1,0
10/13/17,60,51,74,30.4,10,6,0,0,0,0
10/14/17,67,61,83,30.23,8,3,0.08,0,1,0
10/15/17,70,63,83,30.01,8,4,0,0,0,0
10/16/17,58,46,67,29.99,9,7,0.01,0,1,0
10/17/17,50,33,52,30.29,10,4,0,0,0,0
10/18/17,61,42,49,30.29,9,4,0,0,0,0
10/19/17,64,44,54,30.18,10,4,0,0,0,0
10/20/17,65,38,42,30.14,10,4,0,0,0,0
10/21/17,67,39,37,30.31,10,2,0,0,0,0
10/22/17,67,48,57,30.37,10,2,0,0,0,0
10/23/17,68,61,81,30.29,9,4,0,0,0,0
10/24/17,70,66,90,29.82,7,6,0.2,0,1,0
10/25/17,62,49,68,29.71,10,2,0,0,0,0
10/26/17,56,39,57,29.72,10,6,0,0,0,0
10/27/17,55,38,51,30.06,10,4,0,0,0,0
10/28/17,62,51,61,29.99,10,5,0,0,0,0
10/29/17,64,62,94,29.53,4,7,3.03,0,1,1
10/30/17,54,42,68,29.4,9,9,0.25,0,1,0
10/31/17,51,32,53,30.05,10,6,0,0,0,0
11/1/17,51,38,63,30.3,10,3,0,0,0,0
11/2/17,65,58,82,30.23,9,3,0,0,0,0
11/3/17,63,54,72,30.07,10,6,0,0,0,0
11/4/17,51,37,56,30.31,10,6,0,0,0,0
11/5/17,56,53,86,30.19,7,4,0.02,0,1,0
11/6/17,56,54,82,29.97,9,5,0.01,0,1,0
11/7/17,45,35,75,30.17,8,6,0.7,0,1,0
11/8/17,44,36,79,30.23,10,5,0,0,0,0
11/9/17,47,39,70,30.13,10,3,0,0,0,0
11/10/17,38,21,58,30.19,10,9,0.01,0,0,0
11/11/17,31,10,44,30.53,10,5,0,0,0,0
11/12/17,39,23,49,30.45,10,2,0,0,0,0
11/13/17,43,34,71,30.32,9,4,0.07,0,1,0
11/14/17,42,33,71,30.31,10,5,0,0,0,0
11/15/17,44,33,66,30.21,10,5,0,0,0,0
11/16/17,50,43,68,29.88,9,7,0.2,0,1,0
11/17/17,42,21,48,30.04,10,8,0,0,0,0
11/18/17,45,32,67,29.79,10,3,0.1,0,1,0
11/19/17,49,37,68,29.49,10,10,0.23,0,1,0
11/20/17,42,24,51,30.02,10,7,0,0,0,0
11/21/17,50,31,46,30.07,10,5,0,0,0,0
11/22/17,46,40,72,29.95,7,7,0.21,0,1,0
11/23/17,37,19,48,30.06,10,5,0,0,0,0
11/24/17,43,23,44,30,10,4,0,0,0,0
11/25/17,50,32,51,29.77,10,4,0,0,0,0
11/26/17,46,27,50,29.92,10,7,0,0,0,0
11/27/17,45,24,45,30.08,10,7,0,0,0,0
11/28/17,45,33,60,30.35,10,5,0,0,0,0
11/29/17,53,33,50,30.15,10,5,0,0,0,0
11/30/17,46,34,66,30.19,10,4,0.03,0,1,0
12/1/17,47,35,65,30.15,10,5,0,0,0,0
12/2/17,44,30,58,30.27,10,3,0,0,0,0
12/3/17,45,38,74,30.22,10,2,0,0,0,0
12/4/17,46,39,75,30.4,7,4,0,0,0,0
12/5/17,56,52,81,30.06,7,7,0.75,0,1,0
12/6/17,50,28,63,29.93,10,8,0,0,0,0
12/7/17,41,20,43,29.99,10,7,0,0,0,0
12/8/17,37,17,48,30.04,10,5,0,0,0,0
12/9/17,33,27,72,29.83,3,4,0.46,1,0,1
12/10/17,34,23,70,29.89,7,7,0,0,0,0
12/11/17,37,22,58,30,10,5,0,0,0,0
12/12/17,40,32,60,29.56,10,7,0,1,0,0
12/13/17,26,6,42,29.58,10,11,0,0,0,0
12/14/17,27,18,67,29.72,6,6,0.09,1,0,0
12/15/17,24,16,68,29.98,5,4,0.11,1,0,1
12/16/17,31,20,67,30.03,9,7,0,0,0,0
12/17/17,35,23,62,30.25,10,3,0,0,0,0
12/18/17,41,32,75,30.06,9,5,0.02,0,0,0
12/19/17,50,36,57,29.83,10,8,0,0,0,0
12/20/17,43,21,44,29.9,10,7,0,0,0,0
12/21/17,36,16,44,30.19,10,4,0,0,0,0
12/22/17,43,30,62,30.21,10,4,0,0,0,0
12/23/17,43,40,93,29.89,4,5,0.49,0,1,0
12/24/17,39,28,73,30.09,9,8,0.01,0,0,0
12/25/17,33,23,69,29.86,8,11,0.23,1,1,0
12/26/17,26,2,37,30.37,10,9,0,0,0,0
12/27/17,21,1,40,30.48,10,6,0,0,0,0
12/28/17,15,-4,44,30.49,10,8,0,0,0,0
12/29/17,17,1,50,30.29,10,7,0,0,0,0
12/30/17,20,12,65,30.03,6,5,0.05,1,0,0
12/31/17,15,-1,58,30.24,10,9,0,0,0,0
